"DOCUMENT_TYPE_ID","NAME"
"E5171A18D2254C8B9942848AC31DC1F9","Sponsor Passport - Residency Page"
"7763C57D4D804F409EA7F10735C04349","Sale of Shares Document"
"00000000000000000000000000000079","Employment Contract  Page 2"
"00000000000000000000000000000113","Three Months Bank Statement Page 1"
"00000000000000000000000000000059","Health insurance - if not paid"
"00000000000000000000000000000115","Three Months Bank Statement Page 3"
"00000000000000000000000000000148","Letter from holder of Conference-Exhibition-fair-festival page 1"
"00000000000000000000000000000173","New Entry Permit Visa"
"80618C6769A348C2B67EA14D87D8B6BA","New Establishment Card"
"00000000000000000000000000000015","Consanguinity Proof Page 2"
"00000000000000000000000000000030","Pledge Letter from sponsor Page 2"
"00000000000000000000000000000147","Labour card - Reciept page 2"
"470F296EE30445E08C023BE290362C7B","Sponsored Old Passport"
"00000000000000000000000000000116","Three Months Bank Statement Page 4"
"00000000000000000000000000000107","Partnership Contract Page 4"
"EBCAE64ACB1441308FC6B7543182BEEB","Others Page 4"
"785577AF6E8A4F369C51CF3A079DB8AE","Others Page 5"
"1ADED610F4434C638CD8FD2BD505D50A","Others Page 6"
"FA5702B7ED474484BC7F051211B13229","Others Page 7"
"595EB63E2AE94544BD28DD27F81C6E75","Sponsor Passport"
"23CD0CB8DADF449FBF904B6ECD5C63C6","Medical Unfit Certificate"
"5E424ABF04A545C3B42A9D28602245C4","Sponsored New Passport"
"BAE04485D2834A83A517F6DCF14FD775","Bank Payment Receipt"
"00000000000000000000000000000129","Temporary Employment Contract Page 2"
"CCA1234B4C034C69947390BA803E122A","Proof of Bank Deposit Page 1"
"00000000000000000000000000000068","EIDA Card"
"00000000000000000000000000000037","Birth Certificate Page 1"
"00000000000000000000000000000177","Others Page 4"
"000000000F0000000000000000000113","Original Notary Attested Authorization for signatory Page 2"
"00000000000000000000000000000082","Employment Contract  Page 5"
"00000000000000000000000000000062","Sponsor Passport Page 5"
"00000000000000000000000000000014","Consanguinity Proof Page 1"
"5046883DE440423A87908255EE0520A0","Others Page 10"
"00000000000000000000000000000007","Assisting Category Labour Contract Page 1"
"00000000000000000000000000000047","Property Ownership contract Page 10"
"00000000000000000000000000000091","Work Permit Page 1"
"00000000000000000000000000000165","consanguinity Proof Page 3"
"00000000000000000000000000000096","Current Sponsor Passport Page 5"
"66AB514E1FBC4C91B7FE6CE01FAC29B7","Others Page 8"
"3963DC12A2AD4D53919592909C3B37FF","Power of Attorney"
"CDD3E0173F2641D9A82B472455604E73","Salary Certificate - Labour contract - Partnership Contract  Page 1"
"5C608DC460534447AEF54CCDD492DD0D","EIDA Card Application Document"
"00000000000000000000000000000060","Sponsor Passport Page 1"
"00000000000000000000000000000078","Sponsored Old Passport Page 5"
"025E6D51961E4204AFA40BEC20912E3E","Birth Certificate"
"00000000000000000000000000000066","Partnership Contract Page 2"
"00000000000000000000000000000053","Sponsor Marriage Certificate Page 2"
"000000000F0000000000000000000112","Others Page 2"
"00000000000000000000000000000160","Medical Reports Page 10"
"00000000000000000000000000000083","Employment Contract  Page 6"
"00000000000000000000000000000084","Employment Contract  Page 7"
"82B8292BCED94835A91364FD87A3FD52","Property Ownership contract"
"77DDF4E7CF054FCCB7B994057069D701","Employment Card"
"00000000000000000000000000000095","Current Sponsor Passport Page 4"
"00000000000000000000000000000162","Medical Test page 2"
"9A7D2FADE57C4EFFB0D129DAE57CA7D0","Certificate of Good conduct - Page 1"
"543439B8221045409172EAA7B12B53AF","Court Request"
"00000000000000000000000000000085","Employment Contract  Page 8"
"94AF83C5A7BD45D987392B7EE410210F","Sponsored Passport - Residency Page"
"00000000000000000000000000000178","Others Page 7"
"78C5C2F9B23A4B6D88ED806A18246475","Medical Certificate from Origin Country"
"F6310223224F43788A45DBA40FD2E1E9","Consanguinity Proof"
"00000000000000000000000000000176","Others Page 3"
"07C872F21DBA4C4CB666ED2CE5303DC0","Employment Contract"
"00000000000000000000000000000008","Assisting Category Labour Contract Page 2"
